,/lpc/nct6796dr/control/0,/lpc/nct6796dr/control/1,/lpc/nct6796dr/control/2,/lpc/nct6796dr/control/3,/lpc/nct6796dr/control/4,/lpc/nct6796dr/control/5,/lpc/nct6796dr/control/6,/lpc/nct6796dr/voltage/0,/lpc/nct6796dr/voltage/1,/lpc/nct6796dr/voltage/2,/lpc/nct6796dr/voltage/3,/lpc/nct6796dr/voltage/4,/lpc/nct6796dr/voltage/5,/lpc/nct6796dr/voltage/6,/lpc/nct6796dr/voltage/7,/lpc/nct6796dr/voltage/9,/lpc/nct6796dr/voltage/10,/lpc/nct6796dr/voltage/11,/lpc/nct6796dr/voltage/12,/lpc/nct6796dr/voltage/13,/lpc/nct6796dr/voltage/14,/lpc/nct6796dr/temperature/1,/lpc/nct6796dr/temperature/2,/lpc/nct6796dr/temperature/3,/lpc/nct6796dr/temperature/4,/lpc/nct6796dr/temperature/5,/lpc/nct6796dr/temperature/6,/lpc/nct6796dr/fan/1,/amdcpu/0/load/1,/amdcpu/0/load/2,/amdcpu/0/load/3,/amdcpu/0/load/4,/amdcpu/0/load/5,/amdcpu/0/load/6,/amdcpu/0/load/7,/amdcpu/0/load/8,/amdcpu/0/load/0,/amdcpu/0/power/0,/amdcpu/0/clock/0,/amdcpu/0/power/2,/amdcpu/0/power/3,/amdcpu/0/power/4,/amdcpu/0/power/5,/amdcpu/0/power/6,/amdcpu/0/power/7,/amdcpu/0/power/8,/amdcpu/0/power/9,/amdcpu/0/temperature/1,/amdcpu/0/temperature/0,/amdcpu/0/clock/1,/amdcpu/0/clock/2,/amdcpu/0/clock/3,/amdcpu/0/clock/4,/amdcpu/0/clock/5,/amdcpu/0/clock/6,/amdcpu/0/clock/7,/amdcpu/0/clock/8,/amdcpu/0/power/1,/ram/load/0,/ram/data/0,/ram/data/1,/nvidiagpu/0/temperature/0,/nvidiagpu/0/clock/0,/nvidiagpu/0/clock/1,/nvidiagpu/0/clock/2,/nvidiagpu/0/load/0,/nvidiagpu/0/load/1,/nvidiagpu/0/load/2,/nvidiagpu/0/load/3,/nvidiagpu/0/control/0,/nvidiagpu/0/fan/0,/nvidiagpu/0/smalldata/3,/nvidiagpu/0/smalldata/2,/nvidiagpu/0/smalldata/1,/nvidiagpu/0/load/4,/nvidiagpu/0/power/0,/nvidiagpu/0/throughput/0,/nvidiagpu/0/throughput/1,/hdd/0/load/0,/hdd/1/load/0,/hdd/2/load/0,/hdd/3/load/0,/hdd/4/temperature/0,/hdd/4/load/0,/hdd/5/load/0
Time,"Fan Control #1","Fan Control #2","Fan Control #3","Fan Control #4","Fan Control #5","Fan Control #6","Fan Control #7","CPU VCore","Voltage #2","AVCC","3VCC","Voltage #5","Voltage #6","Voltage #7","3VSB","VTT","Voltage #11","Voltage #12","Voltage #13","Voltage #14","Voltage #15","Temperature #1","Temperature #2","Temperature #3","Temperature #4","Temperature #5","Temperature #6","Fan #2","CPU Core #1","CPU Core #2","CPU Core #3","CPU Core #4","CPU Core #5","CPU Core #6","CPU Core #7","CPU Core #8","CPU Total","CPU Package","Bus Speed","CPU Core #1","CPU Core #2","CPU Core #3","CPU Core #4","CPU Core #5","CPU Core #6","CPU Core #7","CPU Core #8","CPU Tctl","CPU Package","CPU Core #1","CPU Core #2","CPU Core #3","CPU Core #4","CPU Core #5","CPU Core #6","CPU Core #7","CPU Core #8","CPU Cores","Memory","Used Memory","Available Memory","GPU Core","GPU Core","GPU Memory","GPU Shader","GPU Core","GPU Frame Buffer","GPU Video Engine","GPU Bus Interface","GPU Fan","GPU","GPU Memory Total","GPU Memory Used","GPU Memory Free","GPU Memory","GPU Power","GPU PCIE Rx","GPU PCIE Tx","Used Space","Used Space","Used Space","Used Space","Temperature","Used Space","Used Space"
12/28/2021 08:04:18,55.6862755,100,60,60,60,100,100,0.6,1.71200013,3.40800023,3.36000013,1.76000011,0.816000044,1.2,3.40800023,0.8880001,0.15200001,0.624,1.08,1.03200006,1.784,68,46,15.5,84,13,-21,2631.57886,100,100,100,7.03125,3.125,19.53125,14.84375,9.375,44.23828,64.384964,99.81808,8.425741,9.020238,9.946617,3.62930512,3.065333,6.007991,4.15957165,3.91822577,94.25,84.25,3618.40527,3618.40527,3618.40527,3618.40527,3618.40527,3618.40527,3618.40527,3618.40527,48.1730232,69.39334,11.055542,4.87616348,64,1080,6801.00342,0,100,86,0,0,100,2107,8192,6327.422,1864.57813,77.23904,94.772,34.1796875,14.6484375,99.99843,99.99999,99.99843,25.7352219,33,84.1506,38.52541
12/28/2021 08:04:19,55.6862755,100,60,60,60,100,100,0.584000051,1.71200013,3.40800023,3.36000013,1.76000011,0.816000044,1.2,3.40800023,0.8880001,0.15200001,0.624,1.08,1.03200006,1.784,68,46,15.5,84,13,-21,2636.71875,100,100,100,11.71875,8.59375,29.6875,14.0625,13.28125,47.16797,65.4588,99.81808,8.383237,9.063245,9.888324,3.98939633,3.48105812,6.40834236,4.246587,3.92361879,94.25,84.25,3668.31445,3668.31445,3668.31445,3668.31445,3668.31445,3668.31445,3668.31445,3668.31445,49.3838043,69.4359055,11.0623245,4.869381,64,1080,6801.00342,0,100,86,0,0,100,2095,8192,6327.922,1864.07813,77.24514,94.90201,31.25,17.578125,99.99843,99.99999,99.99843,25.7352219,33,84.1506,38.52541
12/28/2021 08:04:20,55.6862755,100,60,60,60,100,100,0.584000051,1.71200013,3.40800023,3.36000013,1.76800013,0.816000044,1.2,3.40800023,0.8880001,0.15200001,0.624,1.08,1.03200006,1.784,68,46,15.5,84,13,-21,2631.57886,100,100,100,12.5,12.5,34.375,23.4375,16.40625,49.9023438,64.88888,99.81808,8.602179,8.869204,9.81187248,3.612445,3.3351717,6.39790535,4.37527752,3.715189,94.25,84.25,3693.2688,3693.2688,3693.2688,3693.2688,3693.2688,3693.2688,3693.2688,3693.2688,48.7192459,69.39331,11.0555382,4.8761673,64,1080,6801.00342,0,100,86,0,0,100,2103,8192,6327.35938,1864.64063,77.23827,95.036,26.3671875,17.578125,99.99843,99.99999,99.99843,25.7352219,33,84.1506,38.52541
12/28/2021 08:04:21,55.6862755,100,60,60,60,100,100,0.584000051,1.71200013,3.40800023,3.36000013,1.76000011,0.816000044,1.2,3.40800023,0.8880001,0.15200001,0.624,1.08,1.03200006,1.784,68,46,15.5,84,13,-21,2631.57886,100,100,100,9.375,5.46875,24.21875,24.21875,10.15625,46.6796875,64.79796,99.81808,8.688917,8.959563,9.825669,3.54590034,3.30188155,6.054842,4.609684,3.76133513,94.25,84.25,3643.35986,3643.35986,3643.35986,3643.35986,3643.35986,3643.35986,3643.35986,3643.35986,48.7477875,69.36621,11.05122,4.88048553,64,1080,6801.00342,0,100,86,0,0,100,2099,8192,6327.60938,1864.39063,77.2413254,94.878006,31.25,17.578125,99.99843,99.99999,99.99843,25.7352219,33,84.1506,38.52541
12/28/2021 08:04:22,55.6862755,100,60,60,60,100,100,0.592,1.71200013,3.40800023,3.36000013,1.76000011,0.816000044,1.2,3.40800023,0.8880001,0.15200001,0.624,1.08,1.03200006,1.784,68,46,15.5,84,13,-21,2636.71875,100,100,100,13.8888893,9.722221,27.7777786,17.3611164,12.5,47.65625,64.61935,99.81808,8.378281,9.044263,9.904855,3.521768,3.29437351,6.60530329,4.105448,3.62929273,94.25,84.25,3693.2688,3693.2688,3693.2688,3693.2688,3693.2688,3693.2688,3693.2688,3693.2688,48.4835854,69.36218,11.0505791,4.8811264,64,1080,6801.00342,0,100,86,0,0,100,2095,8192,6327.35938,1864.64063,77.23827,94.759,33.203125,18.5546875,99.99843,99.99999,99.99843,25.7352219,33,84.1506,38.52541
12/28/2021 08:04:23,55.6862755,100,60,60,60,100,100,0.584000051,1.71200013,3.40800023,3.36000013,1.76000011,0.816000044,1.2,3.40800023,0.8880001,0.15200001,0.624,1.08,1.03200006,1.784,68,46,15.5,84,13,-21,2636.71875,100,100,100,6.25,9.821426,25.89286,18.75,8.928574,46.20536,65.73308,99.81808,8.652484,8.982358,9.924984,3.548803,3.5478518,6.07646036,4.737792,4.14165926,94.25,84.25,3643.35986,3643.35986,3643.35986,3643.35986,3643.35986,3643.35986,3643.35986,3643.35986,49.6123962,69.36534,11.0510826,4.880623,64,1080,6801.00342,0,100,85,0,0,100,2107,8192,6335.172,1856.82813,77.33364,94.73,35.15625,17.578125,99.99843,99.99999,99.99843,25.7352219,33,84.1506,38.52541
12/28/2021 08:04:24,55.6862755,100,60,60,60,100,100,0.584000051,1.71200013,3.40800023,3.36000013,1.76000011,0.816000044,1.2,3.40800023,0.8880001,0.15200001,0.624,1.08,1.03200006,1.784,68,46,15.5,84,13,-21,2636.71875,100,100,100,19.53125,10.9375,30.46875,14.0625,14.0625,48.6328125,65.76598,99.81808,8.521846,8.816608,9.821293,3.90108228,3.85931849,6.127552,4.28409338,4.447649,94.25,84.25,3618.40527,3618.40527,3618.40527,3618.40527,3618.40527,3618.40527,3618.40527,3618.40527,49.77944,69.39386,11.0556259,4.87607956,64,1080,6801.00342,0,100,85,0,0,100,2099,8192,6327.23438,1864.76563,77.23675,94.664,34.1796875,17.578125,99.99843,99.99999,99.99843,25.7352219,33,84.1506,38.52541
12/28/2021 08:04:25,55.6862755,100,60,60,60,100,100,0.576000035,1.70400012,3.40800023,3.36000013,1.76000011,0.816000044,1.2,3.40800023,0.8880001,0.15200001,0.624,1.08,1.03200006,1.784,68,46,15.5,84,13,-21,2636.71875,100,100,100,21.09375,13.28125,25.78125,19.53125,16.40625,49.51172,67.45141,99.81808,8.458535,8.671174,9.725274,4.76044035,4.19470549,6.062536,4.74752045,4.79635668,94.25,84.25,3618.40527,3618.40527,3618.40527,3618.40527,3618.40527,3618.40527,3618.40527,3618.40527,51.4165421,69.36218,11.0505791,4.8811264,64,1080,6801.00342,0,100,86,0,0,100,2099,8192,6327.23438,1864.76563,77.23675,94.6310043,28.3203125,17.578125,99.99843,99.99999,99.99843,25.7352219,33,84.1506,38.52541
12/28/2021 08:04:26,55.6862755,100,60,60,60,100,100,0.592,1.71200013,3.40800023,3.36000013,1.76800013,0.816000044,1.2,3.40800023,0.8880001,0.15200001,0.624,1.08,1.03200006,1.784,68,46,15.5,84,13,-21,2636.71875,100,100,100,21.09375,17.1875,18.75,22.65625,19.53125,49.9023438,68.30909,99.81808,8.500131,8.858583,9.738882,4.68787861,4.357009,6.297989,5.01737547,4.89194441,94.25,84.25,3743.178,3743.178,3743.178,3743.178,3743.178,3743.178,3743.178,3743.178,52.3497963,69.43663,11.062439,4.86926651,64,1080,6801.00342,0,100,86,0,0,100,2099,8192,6328.73438,1863.26563,77.25506,94.757,25.390625,17.578125,99.99843,99.99999,99.99843,25.7352219,33,84.1506,38.52541
